hospital_id,hospital_name,hospital_state
1,Wallace-Hamilton,CO
2,"Burke, Griffin and Cooper",NC
3,Walton LLC,FL
4,Garcia Ltd,NC
5,"Jones, Brown and Murray",NC
6,Boyd PLC,GA
7,"Wheeler, Bryant and Johns",FL
8,Brown Inc,FL
9,"Smith, Edwards and Obrien",FL
10,Brown-Golden,NC
11,Little-Spencer,CO
12,Rose Inc,FL
13,"Malone, Thompson and Mejia",NC
14,Mcneil-Ali,GA
15,"Jones, Taylor and Garcia",CO
16,Richardson-Powell,GA
17,Castaneda-Hardy,CO
18,Burch-White,NC
19,Cunningham and Sons,TX
20,"Bell, Mcknight and Willis",CO
21,Pugh-Rogers,GA
22,"Rush, Owens and Johnson",NC
23,Pearson LLC,CO
24,Taylor and Sons,TX
25,Schultz-Powers,TX
26,Jordan Inc,FL
27,Lewis-Nelson,FL
28,Shea LLC,GA
29,Huynh PLC,CO
30,Vaughn PLC,CO
